괴산군보건소,괴산군,충북 괴산군 괴산읍 동부리 641 괴산군보건소,043-832-4000,36.80821117,127.796497
괴산성모병원,괴산군,충북 괴산군 괴산읍 임꺽정로 116,043-830-5400,36.8156374,127.784324
단양군보건소,단양군,충북 단양군 단양읍 삼봉로 53,043-420-3201,36.9815587,128.3503195
단양군립노인요양병원,단양군,충북 단양군 단양읍 별곡6길 10,043-423-8844,36.98741682,128.368768
보은군보건소,보은군,충북 보은군 보은읍 삼산리 170-2,043-540-5619,36.48685258,127.7163088
보은한양병원,보은군,충북 보은군 보은읍 보은로 102,043-544-1500,36.48344218,127.7182972
영동군보건소,영동군,충북 영동군 영동읍 매천리 444-1,043-740-5612,36.16869367,127.7760357
영동병원,영동군,충북 영동군 영동읍 대학로 106,043-740-9000,36.18531713,127.7810386
옥천군보건소,옥천군,충북 옥천군 옥천읍 삼양리 161-45 관공서(옥천군보건소) ,043-730-2112,36.30453015,127.570142
옥천성모병원,옥천군,충북 옥천군 옥천읍 성왕로 1195,043-730-7000,36.31389767,127.5718632
음성군보건소,음성군,충북 음성군 음성읍 읍내리 406-4,043-872-2136,36.92860062,127.6887232
금왕태성병원,음성군,음성군 금왕읍 음성로1230번길 10   ,043-883-8800,36.99763232,127.5984995
제천시보건소,제천시,충청북도 제천시 청전동 110,043-641-3821,37.1491846,128.2160053
제천 서울병원,제천시,충청북도 제천시 숭문로 57,043-642-7609,37.13877591,128.2061864
명지병원(제천),제천시,충북 제천시 내토로 991,043-640-8373,37.16341133,128.2339864
증평군보건소,증평군,충북 증평군 증평읍 내성리 57-2 증평군보건소,043-835-4220,36.77431536,127.5866935
진천군보건소,진천군,충북 진천군 진천읍 벽암리 570 진천군보건소 본관,043-539-7334,36.86060782,127.4396005
건명의료재단 진천성모병원,진천군,진천읍 중앙북로 36,043-533-1710,36.85837207,127.4406416
청주시상당보건소,청주시,충북 청원군 남일면 효촌리 92-2,043-201-4392,36.58830267,127.5052983
청주한국병원,청주시,충청북도 청주시 상당구 단재로 106,043-222-7000,36.61970995,127.4963006
청주효성병원,청주시,충청북도 청주시 상당구 쇠내로 16,043-221-5000,36.62447251,127.4955285
청주시흥덕보건소,청주시,충북 청주시 흥덕구 비하동(강서제1동) 792 흥덕구 보건소 흥덕보건소,043-201-3342,36.63013798,127.4264897
한마음의료재단하나병원,청주시,충북 청주시 흥덕구 2순환로 1262,043-230-6191,36.6235827,127.430185
베스티안병원,청주시,충청북도 흥덕구 오송읍 오송생명1로 191,043-904-8711,36.6363608,127.321479
청주시서원보건소,청주시,충북 청주시 서원구 사직동(사직1동) 888 서원구청 지하1층 서원보건소,043-201-3207,36.63762615,127.4701729
충청북도 청주의료원,청주시,충북 청주시 서원구 흥덕로 48,043-279-0400,36.64021458,127.4731618
충주시보건소,충주시,충북 충주시 문화동 1655 충주시 건강복지타운 충주시 보건소,043-850-4431,36.97086749,127.9279595
건국대학교충주병원,충주시,충북 충주시 국원대로82,043-840-8330,36.97899823,127.9288739
충주의료원,충주시,충북 충주시 안림로239-50,043-871-0118,36.97976743,127.9707162
청주시청원보건소,청주시,충청북도 청주시 청원구 오창읍 각리 639-1,043-201-3442,36.71012285,127.4307382
청주성모병원,청주시,청주시 청원구 주성로173-19,043-219-8000,36.67375222,127.485652
